タイトル,URL,都道府県,ランダム表示対象？,その他絞り込み条件
一緒に助かるために,https://www9.nhk.or.jp/archives/311shogen/tasukaru/,,,
学んで助かる　震災からわが身を守る　帰宅困難になったとき,https://www9.nhk.or.jp/archives/311shogen/fa/se1/fifth.html,,,
防災特集“３つの約束”で「もしも」の備え,https://www9.nhk.or.jp/archives/311shogen/bousai/01.html,,,
防災特集“ちょい足し”で揃える防災グッズ８選,https://www9.nhk.or.jp/archives/311shogen/bousai/02.html,,,
日々の食材を非常食に！毎日おいしい備蓄のすすめ,https://www9.nhk.or.jp/archives/311shogen/bousai/03.html,,,
学んで助かる 震災からわが身を守る　避難に車を使うべきか,https://www9.nhk.or.jp/archives/311shogen/fa/se1/index.html,,,
学んで助かる 震災からわが身を守る　とにかく、高い所へ,https://www9.nhk.or.jp/archives/311shogen/fa/se1/second.html,,,
学んで助かる 震災からわが身を守る　すぐに避難行動を取るために,https://www9.nhk.or.jp/archives/311shogen/fa/se1/third.html,,,
“もしも”に備える　防災クイズ,https://www9.nhk.or.jp/archives/311shogen/fa/quiz/index.html,,,
学んで助かる 住民を守る責務　高齢者を守るために,https://www9.nhk.or.jp/archives/311shogen/fa/se2/third.html,,,
「街の水害」　対策マニュアル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220906_01.html,,,
「雷(カミナリ)」対策マニュアル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220905_01.html,,,
災害に遭う前に ハザードマップで危険を知る,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190604_08.html,,,
川の氾濫 警戒のポイントは？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20210721_02.html,,,
「命を守る行動を！」特別警報に緊急安全確保…どうすれば,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220518_01.html,,,
避難するとき 徒歩や車…ここに注意！,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20210702_01.html,,,
地震発生！その時…そのあと…大切なことは？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220310_01.html,,,
都市水害から命を守るポイント,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20210721_03.html,,,
新型コロナウイルスと災害避難 どうすれば？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_15.html,,,
大雪に備える 注意したいポイントは？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/20201216_01.html,,,
「特別警報」命に関わる非常事態 正しく理解を,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190526_06.html,,,
ハザードマップの見方,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190517_05.html,,,
台風接近 警戒すべきこと,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190517_03.html,,,
豪雨 警戒が必要なこと,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190517_04.html,,,
いざ避難！ ここで注意すべきこと,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190517_02.html,,,
地震発生 その時どうする!?,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190711_09.html,,,
災害時 赤ちゃんを守れる避難所を,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_14.html,,,
避難情報の変更と大雨警戒レベル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190529_07.html,,,
地震が起きたら 火災にも注意,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20211028_01.html,,,
津波が発生したら…その時どうする？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20211105_01.html,,,
災害用の備蓄トイレ どんな種類が？どう使う？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220419_01.html,,,
今すぐできる！家の中の地震対策をイラスト紹介,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220501_01.html,,,
首都直下地震の危険 その時どうする,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220501_02.html,,,
大雨・浸水への備え ～水の怖さを知ろう～,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220501_03.html,,,
土砂災害 警戒や避難のポイントは？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20210721_01.html,,,
「暴風」対策マニュアル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220902_01.html,,,
「突風」「竜巻」対策マニュアル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220905_02.html,,,
「浸水被害」支援制度を受けるには,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220906_02.html,,,
防災は日ごろのちょっとした知恵や工夫で！,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220501_08.html,,,
土砂災害のリスクと命を守る行動マニュアル,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220502_07.html,,,
停電したら…スマホは？ライトは？何に注意する？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20220329_01.html,,,
大雪に備える 車の“立往生” 注意点や対策は？,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20211215_01.html,,,
自宅が被災 生活再建のポイントは…,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/20201214_01.html,,,
災害に遭う前に 生活のために備蓄しよう,https://www3.nhk.or.jp/news/special/saigai/basic-knowledge/basic-knowledge_20190725_10.html,,,